accountId,accountName,accountRegion,custodianId,clientId,tradingAccountId
custac1,custac1,region100,cust1,c1,acc1|acc2|acc3
custac2,custac2,region101,cust1,c1,acc1|acc2|acc4
custac3,custac3,region102,cust1,c1,acc1|acc2|acc5
custac4,custac4,region103,cust1,c1,acc1|acc2|acc6
custac5,custac5,region104,cust1,c1,acc1|acc2|acc3|acc4
custac6,custac6,region101,cust1,c2,acc8|acc9
custac7,custac7,region102,cust1,c2,acc8|acc9
custac8,custac8,region103,cust2,c2,acc8|acc9|acc10
custac9,custac9,region100,cust2,c2,acc8|acc9|acc10
custac10,custac10,region100,cust2,c2,acc8|acc9|acc10
custac11,custac11,region101,cust2,c2,acc8|acc9|acc10
